"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","part",1,1,"A","nodon","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",1,1,"B","sorex","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
1,1,"main","part",2,1,"A","denor","back","shared",7,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",2,1,"A","denor","tail","unique",NA,NA,"#C6804C",60,22,39,0,0,"orthogonal"
1,1,"main","part",3,1,"A","praxa","leg","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",3,1,"A","funda","leg","shared",NA,NA,"#D37955",60,31.89949494,34.89949494,0,0,"orthogonal"
1,1,"main","part",4,1,"A","funda","back","unique",4,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",4,1,"B","motar","back","shared",NA,NA,"#9287D5",60,22,-39,0,0,"orthogonal"
1,1,"main","part",5,1,"B","gavan","head","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",5,1,"B","volar","leg","shared",NA,NA,"#AE84A4",60,22,-11,1,0,"attract"
1,1,"main","part",6,1,"B","sorex","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",6,1,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",7,1,"B","volar","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",7,1,"B","motar","tail","unique",NA,NA,"#828DCE",60,12.10050506,-34.89949494,1,0,"attract"
1,1,"main","part",8,1,"A","funda","leg","shared",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",8,1,"A","nodon","head","unique",NA,NA,"#BC827E",60,22,11,1,0,"attract"
1,1,"main","part",9,1,"B","sorex","head","unique",4,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",9,1,"A","praxa","head","shared",NA,NA,"#AD8A65",60,8,25,0,0,"orthogonal"
1,1,"main","part",10,1,"B","volar","leg","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",10,1,"B","gavan","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,0,"orthogonal"
